,country/region,province/state,lat,long,time_period,confirmed,cumulative_confirmed
0,Afghanistan,0,33.93911,67.709953,2021-01,1616981,1616981
1,Albania,0,41.1533,20.1683,2021-01,2018925,2018925
2,Algeria,0,28.0339,1.6596,2021-01,3107662,3107662
3,Andorra,0,42.5063,1.5218,2021-01,269918,269918
4,Angola,0,-11.2027,17.8739,2021-01,561196,561196
5,Antarctica,0,-71.9499,23.346999999999998,2021-01,0,0
6,Antigua and Barbuda,0,17.0608,-61.7964,2021-01,5569,5569
7,Argentina,0,-38.4161,-63.6167,2021-01,53480781,53480781
8,Armenia,0,40.0691,45.0382,2021-01,4910851,4910851
9,Australia,Australian Capital Territory,-35.4735,149.0124,2021-01,3540,3540
10,Australia,New South Wales,-33.8688,151.2093,2021-01,151379,154919
11,Australia,Northern Territory,-12.4634,130.8456,2021-01,2761,157680
12,Australia,Queensland,-27.4698,153.0251,2021-01,38643,196323
13,Australia,South Australia,-34.9285,138.6007,2021-01,17717,214040
14,Australia,Tasmania,-42.8821,147.3272,2021-01,7020,221060
15,Australia,Victoria,-37.8136,144.9631,2021-01,612668,833728
16,Australia,Western Australia,-31.9505,115.8605,2021-01,26535,860263
17,Austria,0,47.5162,14.5501,2021-01,11704280,11704280
18,Azerbaijan,0,40.1431,47.5769,2021-01,6778446,6778446
19,Bahamas,0,25.025885,-78.035889,2021-01,241102,241102
20,Bahrain,0,26.0275,50.55,2021-01,2924162,2924162
21,Bangladesh,0,23.685,90.3563,2021-01,15781691,15781691
22,Barbados,0,13.1939,-59.5432,2021-01,31186,31186
23,Belarus,0,53.7098,27.9534,2021-01,6677527,6677527
24,Belgium,0,50.8333,4.469936,2021-01,20299303,20299303
25,Belize,0,17.1899,-88.4976,2021-01,343649,343649
26,Benin,0,9.3077,2.3158,2021-01,104279,104279
27,Bhutan,0,27.5142,90.4336,2021-01,24444,24444
28,Bolivia,0,-16.2902,-63.5887,2021-01,5584644,5584644
29,Bosnia and Herzegovina,0,43.9159,17.6791,2021-01,3513385,3513385
30,Botswana,0,-22.3285,24.6849,2021-01,537649,537649
31,Brazil,0,-14.235,-51.9253,2021-01,252777439,252777439
32,Brunei,0,4.5353,114.7277,2021-01,5205,5205
33,Bulgaria,0,42.7339,25.4858,2021-01,6337297,6337297
34,Burkina Faso,0,12.2383,-1.5616,2021-01,266368,266368
35,Burma,0,21.9162,95.956,2021-01,3999491,3999491
36,Burundi,0,-3.3731,29.9189,2021-01,35541,35541
37,Cabo Verde,0,16.5388,-23.0418,2021-01,386021,386021
38,Cambodia,0,11.55,104.9167,2021-01,12742,12742
39,Cameroon,0,3.8480000000000003,11.5021,2021-01,839285,839285
40,Canada,Alberta,53.9333,-116.5765,2021-01,3441051,3441051
41,Canada,British Columbia,53.7267,-127.6476,2021-01,1800826,5241877
42,Canada,Diamond Princess,0.0,0.0,2021-01,0,5241877
43,Canada,Grand Princess,0.0,0.0,2021-01,390,5242267
44,Canada,Manitoba,53.7609,-98.8139,2021-01,816832,6059099
45,Canada,New Brunswick,46.5653,-66.4619,2021-01,27612,6086711
46,Canada,Newfoundland and Labrador,53.1355,-57.6604,2021-01,11880,6098591
